Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
IRL,1991-01-01,1991-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1991,1991,7021,Annual value,,70.440000,I
IRL,1992-01-01,1992-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1992,1992,7021,Annual value,,67.010000,I
IRL,1993-01-01,1993-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1993,1993,7021,Annual value,,67.010000,I
IRL,1994-01-01,1994-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1994,1994,7021,Annual value,,56.540000,I
IRL,1995-01-01,1995-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1995,1995,7021,Annual value,,70.820000,I
IRL,1996-01-01,1996-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1996,1996,7021,Annual value,,57.870000,I
IRL,1997-01-01,1997-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1997,1997,7021,Annual value,,47.780000,I
IRL,1998-01-01,1998-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1998,1998,7021,Annual value,,48.920000,I
IRL,1999-01-01,1999-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1999,1999,7021,Annual value,,52.160000,I
IRL,2000-01-01,2000-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2000,2000,7021,Annual value,,49.880000,I
IRL,2001-01-01,2001-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2001,2001,7021,Annual value,,56.920000,I
IRL,2002-01-01,2002-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2002,2002,7021,Annual value,,56.370000,I
IRL,2003-01-01,2003-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2003,2003,7021,Annual value,,61.020000,I
IRL,2004-01-01,2004-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2004,2004,7021,Annual value,,66.470000,I
IRL,2005-01-01,2005-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2005,2005,7021,Annual value,,73.250000,I
IRL,2006-01-01,2006-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2006,2006,7021,Annual value,,83.140000,I
IRL,2007-01-01,2007-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2007,2007,7021,Annual value,,94.930000,I
IRL,2008-01-01,2008-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2008,2008,7021,Annual value,,101.670000,I
IRL,2009-01-01,2009-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2009,2009,7021,Annual value,,89.070000,I
IRL,2010-01-01,2010-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2010,2010,7021,Annual value,,90.020000,I
IRL,2011-01-01,2011-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2011,2011,7021,Annual value,,93.830000,I
IRL,2012-01-01,2012-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2012,2012,7021,Annual value,,106.360000,I
IRL,2013-01-01,2013-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2013,2013,7021,Annual value,,113.520000,I
IRL,2014-01-01,2014-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2014,2014,7021,Annual value,,104.280000,I
IRL,2015-01-01,2015-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2015,2015,7021,Annual value,,100.310000,I
IRL,2016-01-01,2016-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2016,2016,7021,Annual value,,95.410000,I
IRL,2017-01-01,2017-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2017,2017,7021,Annual value,,106.760000,I
IRL,2018-01-01,2018-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2018,2018,7021,Annual value,,104.640000,I
IRL,2019-01-01,2019-12-31,104,'372,Ireland,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2019,2019,7021,Annual value,,97.490000,I
