Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
SWE,1995-01-01,1995-12-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),1995,1995,7021,Annual value,LCU,3938.000000,A
SWE,1996-01-01,1996-12-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),1996,1996,7021,Annual value,LCU,3914.000000,A
SWE,1997-01-01,1997-12-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),1997,1997,7021,Annual value,LCU,4353.000000,A
SWE,2000-01-01,2000-12-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2000,2000,7021,Annual value,LCU,3538.000000,A
SWE,2001-01-01,2001-12-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2001,2001,7021,Annual value,LCU,4136.000000,A
SWE,2002-01-01,2002-12-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2002,2002,7021,Annual value,LCU,4485.000000,A
SWE,2003-01-01,2003-12-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2003,2003,7021,Annual value,LCU,4250.000000,A
SWE,2004-01-01,2004-12-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2004,2004,7021,Annual value,LCU,3970.000000,A
SWE,2005-01-01,2005-12-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2005,2005,7021,Annual value,LCU,4555.000000,A
SWE,2006-01-01,2006-12-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2006,2006,7021,Annual value,LCU,4691.600000,A
SWE,2007-01-01,2007-12-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2007,2007,7021,Annual value,LCU,4866.000000,A
SWE,2008-01-01,2008-12-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2008,2008,7021,Annual value,LCU,5740.000000,A
SWE,2009-01-01,2009-12-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2009,2009,7021,Annual value,LCU,5490.000000,A
SWE,2010-01-01,2010-12-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2010,2010,7021,Annual value,LCU,6470.000000,A
SWE,2011-01-01,2011-12-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7021,Annual value,LCU,5960.000000,A
SWE,2012-01-01,2012-12-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2012,2012,7021,Annual value,LCU,6690.000000,A
SWE,2013-01-01,2013-12-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2013,2013,7021,Annual value,LCU,6130.000000,A
SWE,2014-01-01,2014-12-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2014,2014,7021,Annual value,LCU,6200.000000,A
SWE,2015-01-01,2015-12-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2015,2015,7021,Annual value,LCU,6285.000000,A
SWE,2016-01-01,2016-12-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7021,Annual value,LCU,5791.000000,A
SWE,2016-01-01,2016-01-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7001,January,LCU,6137.000000,A
SWE,2016-02-01,2016-02-29,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7002,February,LCU,6207.000000,A
SWE,2016-08-01,2016-08-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7008,August,LCU,7592.000000,A
SWE,2016-09-01,2016-09-30,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7009,September,LCU,6328.000000,A
SWE,2016-10-01,2016-10-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7010,October,LCU,4418.000000,A
SWE,2016-11-01,2016-11-30,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7011,November,LCU,5414.000000,A
SWE,2016-12-01,2016-12-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7012,December,LCU,5776.000000,A
SWE,2017-01-01,2017-12-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7021,Annual value,LCU,8206.000000,A
SWE,2017-01-01,2017-01-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7001,January,LCU,5859.000000,A
SWE,2017-02-01,2017-02-28,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7002,February,LCU,6029.000000,A
SWE,2017-03-01,2017-03-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7003,March,LCU,6599.000000,A
SWE,2017-04-01,2017-04-30,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7004,April,LCU,6861.000000,A
SWE,2017-05-01,2017-05-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7005,May,LCU,7277.000000,A
SWE,2017-06-01,2017-06-30,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7006,June,LCU,6680.000000,A
SWE,2017-08-01,2017-08-31,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7008,August,LCU,13552.000000,A
SWE,2017-09-01,2017-09-30,210,'752,Sweden,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7009,September,LCU,9258.000000,A
